EdgeProducerContext.authority_epoch EdgeProducerContext presence_EdgeProducerContext_control.bin presence_EdgeProducerContext_authority_epoch_absent.bin - required observation
MtrTraceHopV1.avg_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_avg_micro_absent.bin - indifferent observation
MtrTraceHopV1.jitter_interarrival_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_jitter_interarrival_micro_absent.bin - indifferent observation
MtrTraceHopV1.jitter_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_jitter_micro_absent.bin - indifferent observation
MtrTraceHopV1.jitter_worst_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_jitter_worst_micro_absent.bin - indifferent observation
MtrTraceHopV1.last_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_last_micro_absent.bin - indifferent observation
MtrTraceHopV1.max_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_max_micro_absent.bin - indifferent observation
MtrTraceHopV1.min_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_min_micro_absent.bin - indifferent observation
MtrTraceHopV1.stddev_micro MtrTraceHopV1 presence_MtrTraceHopV1_control.bin presence_MtrTraceHopV1_stddev_micro_absent.bin - indifferent observation
SweepHostObservationV1.first_seen_delta_nano SweepHostObservationV1 presence_SweepHostObservationV1_control.bin presence_SweepHostObservationV1_first_seen_delta_nano_absent.bin - indifferent validator
SweepHostObservationV1.last_seen_delta_nano SweepHostObservationV1 presence_SweepHostObservationV1_control.bin presence_SweepHostObservationV1_last_seen_delta_nano_absent.bin - indifferent validator
SweepIcmpSummaryV1.packet_loss_pct SweepIcmpSummaryV1 presence_SweepIcmpSummaryV1_control.bin presence_SweepIcmpSummaryV1_packet_loss_pct_absent.bin - indifferent validator
SweepIcmpSummaryV1.round_trip_micro SweepIcmpSummaryV1 presence_SweepIcmpSummaryV1_control.bin presence_SweepIcmpSummaryV1_round_trip_micro_absent.bin - indifferent validator
SweepMtrExpectationV1.plan_ordinal_offset SweepMtrExpectationV1 presence_SweepMtrExpectationV1_control.bin presence_SweepMtrExpectationV1_plan_ordinal_offset_absent.bin - required validator
SweepMtrSummaryV1.final_rtt_micro SweepMtrSummaryV1 presence_SweepMtrSummaryV1_control.bin presence_SweepMtrSummaryV1_final_rtt_micro_absent.bin - indifferent validator
SweepMtrSummaryV1.packet_loss_pct SweepMtrSummaryV1 presence_SweepMtrSummaryV1_control.bin presence_SweepMtrSummaryV1_packet_loss_pct_absent.bin - indifferent validator
SweepOpenPortV1.response_time_nano SweepOpenPortV1 presence_SweepOpenPortV1_control.bin presence_SweepOpenPortV1_response_time_nano_absent.bin - indifferent validator
TargetRangeV1.mtr_ordinal_count TargetRangeV1 presence_TargetRangeV1_control.bin presence_TargetRangeV1_mtr_ordinal_count_absent.bin presence_TargetRangeV1_header.bin required validator
