# libpcap reference programs, generated once and committed.
#
# Source: tcpdump 4.99.4 / libpcap on Linux 6.8 (Ubuntu 24.04), via
#   tcpdump -dd -s 262144 -i lo '<expression>'
#
# These are the ORACLE for the differential test in
# openspec/changes/add-remote-pcapng-capture task 1.11: our compiler's output
# and these programs are each run over the same crafted corpus and must agree
# on every packet.
#
# The comparison is SEMANTIC, not bytecode equality. A future libpcap that
# emits different instructions for the same filter does not invalidate these
# fixtures: a correct program for `tcp port 443` stays a correct program, so
# the behavioural comparison remains valid. Asserting bytecode equality would
# instead turn red for filters that are perfectly correct, which is why this
# file is an oracle rather than a golden of our own output.
#
# To regenerate, run the tcpdump command above for each expression on a Linux
# host and rewrite the lines below. Nothing in CI shells out to tcpdump: a
# test that needs a host binary goes green by silently skipping when it is
# absent.
#
# format: <expression>\t<code,jt,jf,k> <code,jt,jf,k> ...
icmp	40,0,0,12 21,0,3,2048 48,0,0,23 21,0,1,1 6,0,0,262144 6,0,0,0
icmp6	40,0,0,12 21,0,6,34525 48,0,0,20 21,3,0,58 21,0,3,44 48,0,0,54 21,0,1,58 6,0,0,262144 6,0,0,0
arp	40,0,0,12 21,0,1,2054 6,0,0,262144 6,0,0,0
ip6	40,0,0,12 21,0,1,34525 6,0,0,262144 6,0,0,0
tcp	40,0,0,12 21,0,2,2048 48,0,0,23 21,6,7,6 21,0,6,34525 48,0,0,20 21,3,0,6 21,0,3,44 48,0,0,54 21,0,1,6 6,0,0,262144 6,0,0,0
udp	40,0,0,12 21,0,2,2048 48,0,0,23 21,6,7,17 21,0,6,34525 48,0,0,20 21,3,0,17 21,0,3,44 48,0,0,54 21,0,1,17 6,0,0,262144 6,0,0,0
tcp port 443	40,0,0,12 21,0,6,34525 48,0,0,20 21,0,15,6 40,0,0,54 21,12,0,443 40,0,0,56 21,10,11,443 21,0,10,2048 48,0,0,23 21,0,8,6 40,0,0,20 69,6,0,8191 177,0,0,14 72,0,0,14 21,2,0,443 72,0,0,16 21,0,1,443 6,0,0,262144 6,0,0,0
udp port 443	40,0,0,12 21,0,6,34525 48,0,0,20 21,0,15,17 40,0,0,54 21,12,0,443 40,0,0,56 21,10,11,443 21,0,10,2048 48,0,0,23 21,0,8,17 40,0,0,20 69,6,0,8191 177,0,0,14 72,0,0,14 21,2,0,443 72,0,0,16 21,0,1,443 6,0,0,262144 6,0,0,0
port 443	40,0,0,12 21,0,8,34525 48,0,0,20 21,2,0,132 21,1,0,6 21,0,17,17 40,0,0,54 21,14,0,443 40,0,0,56 21,12,13,443 21,0,12,2048 48,0,0,23 21,2,0,132 21,1,0,6 21,0,8,17 40,0,0,20 69,6,0,8191 177,0,0,14 72,0,0,14 21,2,0,443 72,0,0,16 21,0,1,443 6,0,0,262144 6,0,0,0
dst port 443	40,0,0,12 21,0,6,34525 48,0,0,20 21,2,0,132 21,1,0,6 21,0,13,17 40,0,0,56 21,10,11,443 21,0,10,2048 48,0,0,23 21,2,0,132 21,1,0,6 21,0,6,17 40,0,0,20 69,4,0,8191 177,0,0,14 72,0,0,16 21,0,1,443 6,0,0,262144 6,0,0,0
portrange 440-450	40,0,0,12 21,0,9,34525 48,0,0,20 21,2,0,132 21,1,0,6 21,0,20,17 40,0,0,54 53,0,1,440 37,0,16,450 40,0,0,56 53,13,15,440 21,0,14,2048 48,0,0,23 21,2,0,132 21,1,0,6 21,0,10,17 40,0,0,20 69,8,0,8191 177,0,0,14 72,0,0,14 53,0,1,440 37,0,3,450 72,0,0,16 53,0,2,440 37,1,0,450 6,0,0,262144 6,0,0,0
host 192.0.2.1	40,0,0,12 21,0,4,2048 32,0,0,26 21,8,0,3221225985 32,0,0,30 21,6,7,3221225985 21,1,0,2054 21,0,5,32821 32,0,0,28 21,2,0,3221225985 32,0,0,38 21,0,1,3221225985 6,0,0,262144 6,0,0,0
src host 192.0.2.1	40,0,0,12 21,0,2,2048 32,0,0,26 21,4,5,3221225985 21,1,0,2054 21,0,3,32821 32,0,0,28 21,0,1,3221225985 6,0,0,262144 6,0,0,0
dst host 192.0.2.1	40,0,0,12 21,0,2,2048 32,0,0,30 21,4,5,3221225985 21,1,0,2054 21,0,3,32821 32,0,0,38 21,0,1,3221225985 6,0,0,262144 6,0,0,0
